Entropy	packetNum	RST_Delay_Difference(s)
l	250	0.226906
h	250	0.327745
l	500	0.452908
h	500	0.653745
l	750	0.678908
h	750	0.979745
l	1000	0.904908
h	1000	1.305745
l	1250	1.130908
h	1250	1.631745
l	1500	1.356908
h	1500	1.957745
l	1750	1.582908
h	1750	2.283745
l	2000	1.808908
h	2000	2.609745
l	2250	2.034908
h	2250	2.935745
l	2500	2.260908
h	2500	3.261745
l	2750	2.486908
h	2750	3.587745
l	3000	2.712908
h	3000	3.913745
