Entropy	packetNum	RST_Delay_Difference(s)
l	250	0.226908
h	250	0.458120
l	500	0.452909
h	500	0.914520
l	750	0.678909
h	750	1.370920
l	1000	0.904909
h	1000	1.827320
l	1250	1.130909
h	1250	2.283720
l	1500	1.356909
h	1500	2.740120
l	1750	1.582909
h	1750	3.196520
l	2000	1.808909
h	2000	3.652920
l	2250	2.034909
h	2250	4.109320
l	2500	2.260909
h	2500	4.565720
l	2750	2.486909
h	2750	5.022120
l	3000	2.712909
h	3000	5.478520
