Entropy	packetNum	RST_Delay_Difference(s)
l	250	0.226906
h	250	0.229964
l	500	0.452907
h	500	0.458164
l	750	0.678907
h	750	0.686364
l	1000	0.904907
h	1000	0.914564
l	1250	1.130907
h	1250	1.142764
l	1500	1.356907
h	1500	1.370964
l	1750	1.582907
h	1750	1.599164
l	2000	1.808907
h	2000	1.827364
l	2250	2.034907
h	2250	2.055564
l	2500	2.260907
h	2500	2.283764
l	2750	2.486907
h	2750	2.511964
l	3000	2.712907
h	3000	2.740164
